id,name,alt_name,what_it_does,how_it_works,alt_tag_1,alt_tag_2,vendor_count,proper_name,last_checked
71,myostatin,,"Myostatin is a protein that limits muscle growth in the body. Researchers are exploring its role in muscle wasting diseases to potentially help increase muscle mass in affected individuals. There is interest in blocking myostatin to increase muscle growth, though this application is considered off-label and not approved for medical use.","Myostatin works by inhibiting the growth and differentiation of muscle cells. It is produced mainly in skeletal muscles, circulates in the blood, and acts as a negative regulator of muscle growth. By binding to specific receptors on muscle cells, it signals the cells to reduce muscle growth and division, thereby maintaining muscle size within tight physiological limits.",Peptide,,1,Myostatin,
72,ace-031,,"Ace-031 is a synthetic protein designed to inhibit the activity of myostatin, a natural protein that limits muscle growth. It has been researched for its potential to increase muscle mass, particularly in disorders where muscle wasting is a concern. It is not approved for use in humans, but it is sometimes used off-label in bodybuilding to try to increase muscle growth.","Ace-031 works by binding to myostatin and other related proteins, blocking their activity. This inhibition allows muscles to grow beyond the levels normally inhibited by myostatin. By preventing these proteins from signaling in muscle tissues, it potentially promotes increased muscle mass and strength.",Peptide,,1,Ace-031,
73,amentoflavone,,"Amentoflavone is a naturally occurring biflavonoid found in several plants, often explored for its potential antioxidant, anti-inflammatory, and antiviral properties. It has not been approved for specific medical treatments but is studied in the context of possible off-label uses like enhancing cognitive function and supporting mood stabilization, although these effects are not officially sanctioned.","Amentoflavone is believed to exert its effects by modulating various signaling pathways and interacting with different biological targets. It is known to inhibit certain enzymes and bind to receptor sites in the brain, potentially influencing neural activity, immune response, and oxidative stress processes, though comprehensive understanding still requires further research.",Nootropic,,1,Amentoflavone,
74,dihydromyricetin,,"Dihydromyricetin is a compound extracted from the Japanese raisin tree and is primarily studied for its potential benefits in reducing the effects of alcohol intoxication and possibly helping with alcohol withdrawal symptoms. Off-label, it is sometimes used as a supplement for improving liver function and as an antioxidant, but these uses are not approved and lack conclusive clinical evidence.","Dihydromyricetin is believed to work by affecting receptors in the brain that modulate the effects of alcohol, specifically the GABA-A receptors, which helps reduce alcohol's sedative effect. It may also help to counteract the negative impact of alcohol on the liver by reducing oxidative stress and inflammation.",Nootropic,,1,Dihydromyricetin,
75,thymosinalpha-1,,"Thymosin alpha-1 is a synthetic version of a naturally occurring peptide involved in the regulation of the immune system. It is approved in some countries for the treatment of chronic hepatitis B and C due to its ability to enhance immune response. Off-label, it is sometimes used to help boost immunity in various conditions, although it is not approved for these purposes.","Thymosin alpha-1 works by stimulating the immune system to improve its response to infections and cancer cells. It enhances T-cell activity, which plays a crucial role in the body’s adaptive immune system, helping to identify and attack foreign pathogens and abnormal cells. By boosting specific immune responses, it can aid in controlling infections and potentially enhancing vaccine efficacy.",Peptide,,2,thymosinalpha-1,
76,quercetin,,"Quercetin is a plant flavonoid found in many fruits, vegetables, and grains. It is known for its antioxidant and anti-inflammatory effects. Quercetin is also used off-label for various health benefits, such as supporting heart health, reducing allergy symptoms, and boosting the immune system, but these uses are not approved.","Quercetin works by scavenging free radicals, which helps reduce oxidative stress and inflammation in the body. It can also inhibit enzymes involved in inflammation and modulate pathways that affect immune function. Quercetin's role in reducing allergic reactions is linked to its ability to stabilize mast cells and decrease the release of histamines, though this is considered an off-label application.",,,1,Quercetin,
77,oleoylethanolamide,,"Oleoylethanolamide (OEA) is a naturally occurring molecule that's considered to play a role in regulating hunger and promoting weight loss. It has been shown to reduce appetite and body weight in some studies. Some off-label use includes potential benefits in regulating lipid metabolism, but it's not approved for this purpose.","Oleoylethanolamide works by binding to and activating a receptor called PPAR-α (Peroxisome Proliferator-Activated Receptor Alpha). This activation helps regulate various energy processes, including increasing fat breakdown and decreasing hunger signals. Although it is linked to metabolism regulation, it is not approved for treating metabolic disorders.",Nootropic,,1,Oleoylethanolamide,
78,cibinitide,,"Cibinitide is a peptide-based therapeutic agent primarily studied for its potential to enhance oxygen delivery to tissues. It is being explored as a treatment for anemia and tissue ischemia by improving microvascular blood flow. Some research suggests it could be used off-label to provide neuroprotection or to treat conditions related to nerve damage, but these uses are not approved.","Cibinitide works by mimicking the activity of erythropoietin (EPO), a hormone that regulates red blood cell production. It activates certain pathways that help improve blood flow and oxygen delivery without directly affecting the production of red blood cells, which differentiates it from traditional EPO treatments. This unique mechanism allows cibinitide to potentially benefit tissues affected by low oxygen availability.",Peptide,,1,Cibinitide,
79,cagrilintide,,"Cagrilintide is a research compound primarily studied for its potential use in weight management by reducing appetite and promoting a sense of fullness. It is not currently approved for any specific medical treatments or off-label uses, but its potential in treating obesity-related conditions is being explored in clinical trials.","Cagrilintide works by mimicking the action of a naturally occurring hormone called amylin, which helps regulate blood sugar levels and promotes satiety. By acting on amylin receptors in the brain, it helps reduce food intake and manage body weight.",GLP-1,Peptide,5,Cagrilintide,
80,cagrisema,,Cagrisema is being studied for its potential use in the management of type 2 diabetes and obesity. It aims to help regulate blood sugar levels and promote weight loss. Its use for these purposes is experimental and not yet approved.,"Cagrisema is believed to work by enhancing insulin signaling pathways and affecting appetite regulatory centers in the brain, though the exact mechanism is still under investigation. This multi-faceted approach theoretically improves glucose metabolism and reduces food intake, thereby assisting in diabetes and obesity management.",GLP-1,Peptide,1,Cagrisema,
81,ghrp-2,,"GHRP-2 is a growth hormone-releasing peptide, primarily used in research and not approved for clinical use. It is known to stimulate the release of growth hormone, which can lead to increased muscle mass and decreased body fat. Off-label, GHRP-2 is sometimes used by bodybuilders to enhance muscle growth and recovery, but these uses are not approved.","GHRP-2 works by stimulating the pituitary gland to release more growth hormone. It does this by binding to the ghrelin receptor, which triggers a release of growth hormone into the bloodstream. This mechanism is similar to the body’s natural growth hormone release process, but GHRP-2 enhances the frequency and amount of hormone released.",Peptide,Secreteagouges,1,GHRP-2,
82,igf-1lr3,,"IGF-1 LR3 is a research peptide commonly investigated for its potential role in stimulating growth and promoting muscle hypertrophy. It is an altered form of insulin-like growth factor-1 (IGF-1), designed for a prolonged half-life. While not approved for medical use, off-label it is sometimes used in bodybuilding for muscle growth and recovery.","IGF-1 LR3 works by binding to IGF-1 receptors, mimicking the action of natural IGF-1, which is a protein involved in the growth and repair of tissues, including muscle. The long-arginine 3 form is designed to resist degradation, thus extending its action compared to the regular IGF-1. By activating specific cellular pathways, it may enhance the growth and division of cells, particularly muscle cells.",Peptide,,2,IGF-1LR3,
83,ipamorelin,,"Ipamorelin is a synthetic peptide that is primarily used in scientific research for its growth hormone-releasing properties. It mimics the effects of ghrelin, a natural hormone that stimulates the release of human growth hormone (HGH) from the pituitary gland. While not approved for medical use, ipamorelin is sometimes utilized off-label by athletes and bodybuilders in attempts to increase muscle mass and reduce body fat.","Ipamorelin works by stimulating the pituitary gland to release growth hormone. It does this by binding to the ghrelin receptor, which in turn triggers the gland to secrete more growth hormone into the bloodstream. This mechanism is thought to promote muscle growth, improve recovery, and enhance fat loss effects, although these uses are off-label and lack regulatory approval.",Peptide,Secreteagouges,3,Ipamorelin,
84,melanotan-ii,,"Melanotan-II is a synthetic analog of the naturally occurring hormone alpha-MSH (melanocyte-stimulating hormone). It is known to promote skin tanning by stimulating melanin production. In addition to its tanning effects, it has been used off-label for its potential to increase libido and help manage erectile dysfunction, though these uses are not approved by health authorities.","Melanotan-II works by mimicking the effects of alpha-MSH, which activates the melanocortin receptors in the body. This activation leads to increased production of melanin, the pigment responsible for skin color and tanning. By stimulating melanocortin receptors, it can also affect appetite and sexual function, which explains some of its off-label uses.",Peptide,,2,Melanotan-II,
85,pt-141,,"PT-141, also known as bremelanotide, is primarily used to treat sexual dysfunction in both men and women. It is approved for the treatment of hypoactive sexual desire disorder (HSDD) in premenopausal women. Off-label, it is sometimes used to address erectile dysfunction in men, although it is not specifically approved for this use.","PT-141 works by activating melanocortin receptors in the brain, which are involved in sexual arousal. This action increases sexual desire and arousal by affecting the central nervous system pathways related to sexual motivation. Unlike other treatments for sexual dysfunction that target the vascular system, PT-141 focuses on the neurochemical pathways linked to the libido.",Peptide,,2,PT-141,
86,retatrutide,,"Retatrutide is a research chemical primarily investigated for its potential to aid in weight loss by stimulating the body's energy expenditure and reducing appetite. It has also been studied for its effects on improving glycemic control in individuals with type 2 diabetes. While there's interest in its off-label uses, such as broader metabolic benefits, these applications are not officially approved.","Retatrutide works by activating specific receptors called GLP-1, GIP, and glucagon receptors. This activation helps to regulate appetite and increase energy expenditure by mimicking hormones involved in the body's metabolic processes. These mechanisms can help in managing body weight and blood sugar levels effectively.",GLP-1,Peptide,9,Retatrutide,
87,semaglutide,,"Semaglutide is primarily used to manage type 2 diabetes by helping to lower blood sugar levels. It's also used to promote weight loss in individuals with obesity and is marketed under different names for this purpose. Additionally, some people use semaglutide off-label for weight management, even if they are not clinically obese, but this use is not officially approved.","Semaglutide works by mimicking a hormone called GLP-1, which increases insulin production and reduces glucagon secretion, both of which help to lower blood sugar levels. In addition to its effects on blood sugar, semaglutide also slows stomach emptying and suppresses appetite, contributing to weight loss. These effects are accomplished by activating GLP-1 receptors in the body, helping to regulate glucose metabolism and appetite.",GLP-1,Peptide,11,Semaglutide,
88,tb-500,,"TB-500, also known as Thymosin Beta-4, is a peptide that has been studied for its potential to promote healing and repair muscle tissue. It is not approved for medical use but is often used off-label by athletes and bodybuilders to potentially enhance muscle recovery, improve flexibility, and reduce inflammation.","TB-500 works by upregulating proteins that promote cell migration, blood vessel formation, and reducing inflammation, which can help accelerate the healing process of soft tissues like muscles and tendons. Its mechanism of action involves enhancing cellular building blocks, such as actin, which play a crucial role in the health and repair of tissues.",Peptide,,5,TB-500,
89,tirzepatide,,"Tirzepatide is a medication used primarily to improve blood sugar control in adults with type 2 diabetes. It is administered by injection and helps lower blood glucose levels effectively. Some emerging research and interest exist in its potential off-label use for weight loss, but it is not formally approved for this purpose yet.","Tirzepatide works by mimicking the action of two hormones, GLP-1 and GIP, that are involved in regulating insulin levels. These hormones promote the release of insulin from the pancreas in response to meals, which helps lower blood sugar levels. By activating more pathways than existing GLP-1 based drugs, tirzepatide potentially enhances blood sugar control and may also aid in weight management, although the latter needs further validation for official approval.",GLP-1,Peptide,20,Tirzepatide,
90,aod-9604,,"AOD-9604 is a peptide fragment derived from human growth hormone that has been researched primarily for its potential role in fat metabolism. It is often used off-label for weight loss or fat reduction, but it is not approved for these purposes. Current evidence supporting its effectiveness for these uses is limited.","AOD-9604 works by stimulating the breakdown of fat, specifically enhancing lipolysis and inhibiting lipogenesis. It imitates the part of the human growth hormone that regulates fat metabolism without affecting growth or insulin levels. It is important to note that while it targets fat metabolism pathways, it is not approved for any medical therapies.",Peptide,,1,AOD-9604,
91,ss-31,,"SS-31 is a research peptide that has shown potential in reducing oxidative stress and preserving mitochondrial function in preclinical studies. It has demonstrated protective effects against muscle atrophy and age-related muscle loss in animal models. While these findings suggest potential therapeutic applications, it is not approved for any specific medical use.","SS-31 works by specifically targeting the inner mitochondrial membrane where it binds to cardiolipin, a phospholipid crucial for maintaining mitochondrial integrity. This interaction helps to reduce the production of reactive oxygen species (ROS) and improve mitochondrial function, potentially slowing down cell damage associated with aging and disease.",Peptide,,2,SS-31,
92,epithalon,,"Epithalon, also spelled epitalon or epithalone, is a peptide that has been researched for its potential to lengthen telomeres and possibly extend lifespan. It has been studied for its role in regulating the pineal gland, which can influence circadian rhythms and potentially improve sleep. Off-label, it is used by some to potentially reduce the effects of aging and improve overall vitality, although it is not approved for these purposes.","Epithalon works by increasing the activity of an enzyme called telomerase, which helps extend telomeres at the ends of chromosomes. This process is thought to mitigate cellular aging by promoting the lifespan of cells, as telomeres shorten over time with cell division. Additionally, it is believed to influence the function of the pineal gland, which is involved in the regulation of sleep-wake cycles, although these uses are not officially approved.",Peptide,,1,Epithalon,
93,melanotan-2,,"Melanotan-2 is a synthetic hormone that can darken the skin, simulating a tan. It has also been used off-label for other purposes such as increasing libido and reducing appetite, though these uses are not approved.","Melanotan-2 works by mimicking the effects of the naturally occurring hormone alpha-melanocyte-stimulating hormone (alpha-MSH), which binds to melanocortin receptors in the body to increase the production of melanin in the skin, leading to darkening. Additionally, by interacting with melanocortin receptors, it can influence other bodily processes like sexual function and hunger regulation, though these effects are off-label and not fully approved.",Peptide,,1,Melanotan-2,
94,thymosinalpha1,,"Thymosin alpha-1 is a peptide that is primarily used to boost the immune system. It is approved for use in some countries as an adjuvant therapy for certain viral infections and cancers. Off-label, it is sometimes used to treat chronic infections and autoimmune diseases, but these uses are not approved and should be approached with caution.","Thymosin alpha-1 works by stimulating the production and activity of T-cells, which are a crucial part of the immune system. It helps modulate the immune response, enhancing the body's natural ability to fight infections and potentially cancerous cells. The exact pathways it influences involve boosting intracellular activities that improve immune function.",Peptide,,1,thymosinalpha1,
95,dsip,,"DSIP, or Delta Sleep-Inducing Peptide, is a peptide that has been researched for its potential to promote sleep and assist with stress management. It is being studied for its use in treating sleep disorders and potentially enhancing the effectiveness of some analgesic drugs. However, these uses are considered off-label, and DSIP is not approved for any medical use as of now.","DSIP is thought to work by interacting with several neurotransmitter systems in the brain, including those related to sleep regulation, such as serotonin and dopamine pathways. It might also play a role in modulating the body's stress response by affecting the release of corticotropin, which helps regulate stress hormones. However, the exact mechanisms are not fully understood and further study is needed.",Peptide,,1,DSIP,
96,n-acetylsemaxamidate,,"N-acetylsemaxamidate is a research chemical that is primarily investigated for its potential nootropic effects, which are activities that could enhance cognitive function, particularly executive functions, memory, creativity, or motivation. It is not approved for medical use but is of interest in scientific research for possibly enhancing brain function.","N-acetylsemaxamidate is believed to work by modulating brain activity related to pathways that influence cognitive functions. It is thought to enhance neuronal communication and promote neuroplasticity, similar to other compounds in the class of peptides from which it is derived. However, its exact mechanisms are not entirely understood and require further scientific study.",Peptide,,1,N-acetylsemaxamidate,
97,melanotani,,Melanotani is believed to promote skin tanning by increasing melanin production. It is used off-label to achieve a tanned appearance without exposure to the sun. The compound is not approved for skin tanning or any other cosmetic purposes.,"Melanotani works by stimulating melanocytes, the cells responsible for producing melanin in the body. This increase in melanin production results in a darker skin tone. Although it induces pigmentation changes, this use of melanotani is not approved for any medical or cosmetic purposes.",Peptide,,1,Melanotani,
98,ghk,,"GHK, or Glycyl-L-Histidyl-L-Lysine, is a naturally occurring peptide that has been shown to help with wound healing and skin regeneration. It is sometimes used in anti-aging products or treatments for its potential skin-repairing properties, although these uses are not officially approved.","GHK works by binding to copper ions, forming GHK-Cu, which is believed to promote the synthesis of collagen and repair tissue. This peptide-copper complex can also modulate inflammation and assist in cellular signaling, which contributes to its role in skin health and healing.",Peptide,,1,GHK,
99,Selank,,"N-acetylselankamidate is a research chemical derived from Selank, a peptide primarily studied for its potential anxiolytic (anti-anxiety) and cognitive-enhancing effects. It is not approved for any medical use but is often researched for its ability to reduce symptoms of anxiety and improve mental performance off-label.","N-acetylselankamidate is believed to work by modulating the levels of neurotransmitters in the brain, such as serotonin, which may help reduce anxiety and enhance mood. It may also influence certain immune responses. However, the precise mechanism of action is still under investigation, and its full effects and potential benefits require more research.",Nootropic,Peptide,1,Selank,
100,mazdutide,,"Mazdutide is a research chemical being studied primarily for its potential in treating obesity and type 2 diabetes. It may help with weight loss by decreasing appetite and regulating blood sugar levels. Some off-label uses include investigation of its effects on metabolic disorders, but these applications are not approved.","Mazdutide works by mimicking natural hormones that regulate appetite and glucose metabolism in the body. Specifically, it activates receptors that influence insulin secretion and appetite suppression, leading to lower blood glucose levels and reduced food intake. The precise mechanism is still under research to fully understand all its potential effects.",GLP-1,Peptide,1,Mazdutide,
101,thymalin,,"Thymalin is a peptide that has been studied for its role in modulating the immune system. It is derived from the thymus gland and has been shown to potentially aid in the recovery of immune function, particularly in conditions of immunodeficiency. Some users employ thymalin off-label to support general immune health and potentially reduce the effects of aging, but these uses are not approved.","Thymalin works by influencing the activity of the thymus gland, which is crucial for the development of T-cells, a type of white blood cell that plays a central role in immune responses. By promoting the health and function of the thymus, thymalin may help enhance immune system performance, although the exact mechanisms are still being investigated. It is involved in promoting cell activity and differentiation essential for mounting immune responses.",Peptide,,1,Thymalin,
102,adamax,,"As of now, there is no documented, proven information about the effects of the chemical compound called 'adamax' in scientific literature. If adamax is being considered for any off-label uses, note that such applications have not been approved.","The mechanism of action for 'adamax' is also not documented or proven in scientific resources. Without validated research findings, it's unclear how this compound interacts with biological systems. Any speculative uses or mechanisms are unverified and should be approached with caution.",,,1,Adamax,
103,ll-37,,"LL-37 is a human antimicrobial peptide that plays a significant role in the immune response by protecting against bacterial, viral, and fungal infections. It has been studied for its potential in aiding wound healing and modulating immune responses. Off-label, it is explored for enhancing the skin's healing process and inflammation reduction, but it's not approved for these purposes.","LL-37 functions by disrupting microbial cell membranes, effectively neutralizing pathogens. It also interacts with immune cells to promote the release of cytokines, which are crucial for inflammatory and immune responses. This dual action helps to control infections and regulate immune activity at infection sites.",Peptide,,1,LL-37,
104,survodutide,,"Survodutide is primarily being investigated for its potential use in weight management and treating metabolic disorders such as type 2 diabetes. Some research may be exploring its off-label use for improving cardiovascular health, although this use is not approved.","Survodutide works by targeting specific receptors in the body that are involved in appetite regulation and glucose metabolism. These receptors help reduce food intake and improve blood sugar control, potentially assisting in weight loss and better management of metabolic disorders.",GLP-1,Peptide,1,Survodutide,
105,pe22-28,,"PE22-28 is a research peptide that has been studied for its potential neuroprotective properties and ability to mitigate oxidative stress in cells. It is derived from the protein PACAP, which is involved in cellular responses to stress and injury. While it shows promise in laboratory studies, it is not approved for any specific medical use and should only be used for research purposes.","PE22-28 works by mimicking the activity of the PACAP protein, which plays a significant role in protecting neurons from damage. PACAP activates specific receptors that lead to a cascade of signaling events within cells that can help reduce oxidative damage and promote cell survival. This mechanism is primarily effective in laboratory settings and has not been validated for clinical use.",Peptide,,1,PE22-28,
106,p21,,"p21 is not itself a research chemical but rather a cellular protein encoded by the CDKN1A gene. It functions primarily as a regulator of the cell cycle, playing a critical role in controlling cell growth and division. There are no direct chemical compounds referred to as 'p21,' but studies focus on modulating this protein's activity to understand and possibly influence conditions like cancer. Off-label investigations involve exploring its potential to halt the progression of tumor cells, although it is not approved for any therapeutic purposes currently.","p21 works by inhibiting cyclin-dependent kinases (CDKs), which are enzymes crucial for the progression of the cell cycle from one phase to the next. By binding to these CDKs, p21 effectively causes cells to pause before they divide, allowing for DNA repair or the activation of programmed cell death if the cell is damaged. The regulation of p21 is tightly controlled by p53, a protein that responds to DNA damage by activating p21 to prevent the proliferation of potentially cancerous cells.",,,1,P21,
